mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.6436224460601807,0.2235068522587449,0.24840316772460938,0.019274181550890234,,20,sqrt,4,9,234,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 234}",0.9252525252525253,0.9212121212121211,0.908203125,0.89453125,0.9520833333333334,0.920256470959596,0.019214021633700826,1,0.9889972493123281,0.9876219054763691,0.9896595208070618,0.9907944514501892,0.9869727047146402,0.9888091663521177,0.001377099455565902
4.512445259094238,0.16183959062786923,0.40595111846923826,0.013411195606319351,balanced_subsample,20,sqrt,3,5,502,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 502}",0.9191919191919192,0.9272727272727272,0.908203125,0.90234375,0.94375,0.9201523042929292,0.014617807615478866,2,0.9968742185546386,0.9948737184296075,0.9970996216897856,0.9957124842370744,0.996029776674938,0.9961179639172087,0.000806958568107696
2.1657158374786376,0.08497786230838976,0.2881749153137207,0.04631117533484293,balanced,8,sqrt,5,10,332,"{'class_weight': 'balanced', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 332}",0.9191919191919191,0.9272727272727272,0.912109375,0.90234375,0.9375,0.9196835542929293,0.012110326123613409,3,0.9878719679919981,0.9858714678669668,0.9866330390920555,0.9887767969735183,0.985483870967742,0.9869274285784562,0.0012327120453497489
7.027157735824585,0.16547128721429039,0.4923121929168701,0.04529263199863563,balanced_subsample,12,sqrt,7,3,781,"{'class_weight': 'balanced_subsample', 'max_depth': 12, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 3, 'n_estimators': 781}",0.9171717171717171,0.9232323232323232,0.919921875,0.90625,0.93125,0.9195651830808081,0.00816251029995704,4,0.9813703425856464,0.9787446861715428,0.9793190416141235,0.9813366960907944,0.9771712158808933,0.9795883964686001,0.0016036860434385837
1.2482937335968018,0.12570447320853018,0.2499530792236328,0.023769199683160366,,20,sqrt,5,7,127,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 7, 'n_estimators': 127}",0.9171717171717171,0.915151515151515,0.91796875,0.890625,0.9520833333333334,0.9186000631313131,0.019586039682597835,5,0.9841210302575644,0.9847461865466367,0.9818411097099622,0.9861286254728878,0.9807692307692308,0.9835212365512565,0.0019521830855273028
5.887146663665772,0.1103897501124171,0.2978372097015381,0.02629404384217952,balanced_subsample,,sqrt,3,15,769,"{'class_weight': 'balanced_subsample', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 15, 'n_estimators': 769}",0.9131313131313132,0.9272727272727272,0.908203125,0.90234375,0.9416666666666667,0.9185235164141414,0.014209329826980303,6,0.9876219054763691,0.9841210302575644,0.9863808322824716,0.9880201765447667,0.9832506203473945,0.9858789129817133,0.0018906628102777023
1.5028275966644287,0.10346352072322651,0.1545795440673828,0.02061867275257399,balanced_subsample,12,log2,9,14,140,"{'class_weight': 'balanced_subsample', 'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 14, 'n_estimators': 140}",0.9212121212121211,0.9191919191919191,0.9140625,0.91015625,0.9270833333333334,0.9183412247474747,0.005842798766976712,7,0.9738684671167792,0.972993248312078,0.9717528373266078,0.9759142496847415,0.9676178660049628,0.972429333689034,0.002761941810585875
4.91844596862793,0.1352784752815799,0.44666552543640137,0.02743434036188574,,8,log2,5,8,754,"{'class_weight': None, 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 754}",0.9191919191919191,0.9232323232323232,0.912109375,0.890625,0.9458333333333333,0.9181983901515152,0.017817887735876836,8,0.9861215303825956,0.983745936484121,0.9856242118537201,0.9872635561160152,0.9823821339950373,0.9850274737662978,0.0017431741628641216
4.286455583572388,0.19090014926975554,0.303762149810791,0.041967486234839126,balanced_subsample,20,log2,3,13,666,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 666}",0.9131313131313132,0.9232323232323232,0.908203125,0.900390625,0.9458333333333333,0.918158143939394,0.015695346844244566,9,0.9891222805701425,0.9863715928982246,0.9890290037831021,0.9901639344262295,0.9861042183622829,0.9881582060079964,0.0016199707816480044
6.058137083053589,0.16368699551710747,0.4566911220550537,0.022352512636549207,balanced_subsample,20,sqrt,3,13,646,"{'class_weight': 'balanced_subsample', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 646}",0.9151515151515152,0.9232323232323232,0.90625,0.900390625,0.94375,0.9177548926767676,0.015142032705226006,10,0.988997249312328,0.986496624156039,0.9889029003783102,0.9900378310214375,0.9864764267990075,0.9881822063334245,0.0014406879636696143
2.5613457679748537,0.11149290933821199,0.28603386878967285,0.03418883349948183,balanced,20,sqrt,3,9,382,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 382}",0.9111111111111112,0.9272727272727272,0.904296875,0.90234375,0.94375,0.9177548926767676,0.01567862348566639,10,0.9931232808202051,0.9914978744686171,0.9952080706179067,0.9938209331651955,0.9923076923076923,0.9931915702759234,0.0012741177713057096
2.554942321777344,0.1259947084606702,0.3068236827850342,0.03496499925763886,balanced,20,log2,6,11,576,"{'class_weight': 'balanced', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 11, 'n_estimators': 576}",0.9151515151515152,0.9252525252525252,0.91796875,0.90234375,0.925,0.917143308080808,0.008380483564491021,12,0.98512128032008,0.982370592648162,0.9823455233291298,0.9836065573770492,0.9803970223325061,0.9827681952013855,0.0015619898072292502
1.236048650741577,0.014170246105609461,0.19937896728515625,0.04628610073132954,balanced_subsample,8,sqrt,8,8,221,"{'class_weight': 'balanced_subsample', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 8, 'min_samples_split': 8, 'n_estimators': 221}",0.9212121212121211,0.9191919191919191,0.919921875,0.90625,0.9187500000000001,0.9170651830808081,0.0054715186958469095,13,0.9783695923980995,0.9777444361090273,0.9756620428751576,0.9800756620428751,0.9750620347394542,0.9773827536329227,0.0018277309627382041
1.7079463481903077,0.043135498642102685,0.3515153884887695,0.01964623643212645,,3,sqrt,9,19,250,"{'class_weight': None, 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 19, 'n_estimators': 250}",0.9191919191919191,0.913131313131313,0.91015625,0.890625,0.9520833333333334,0.9170375631313131,0.019965380085177273,14,0.9644911227806952,0.9631157789447362,0.9670870113493064,0.9682219419924338,0.9621588089330024,0.9650149328000349,0.0023072504554456797
