feature,coefficient
time,-1.5459297603908713
ejection_fraction,-0.9505866543709873
serum_creatinine,0.8790125096122136
diabetes,0.49083898475884497
age,0.4201378644005602
sex,-0.2978957398594021
creatinine_phosphokinase,0.29674500071979504
anaemia,0.232619597495486
platelets,-0.1457441606916252
serum_sodium,-0.12172550691441986
smoking,0.11680181736652535
high_blood_pressure,-0.03626697374781582
