feature,importance
time,0.44167374654651137
serum_creatinine,0.16543414673424953
ejection_fraction,0.14314863855276697
age,0.055548395711045924
serum_sodium,0.04945175792284364
platelets,0.0488150774365614
creatinine_phosphokinase,0.04873312005612446
anaemia,0.011565623715172245
smoking,0.010324168724680642
high_blood_pressure,0.009309329483230726
diabetes,0.008821074875601216
sex,0.007174920241211967
